,Gene ID,Gene Name,Outcome,Gene Result,Gene For Length,Gene For Score,Gene Rev Length,Gene Rev Score,Gene Length,Template Result,Template For Length,Template For Score,Template Rev Length,Template Rev Score,Template Length
0,BBF10K_000497,gene_18626,Original_vector_sequence,Bad clone,510,220.0,575,247.0,2367,Perfect,510,510.0,575,575.0,893
1,BBF10K_000468,gene_15693,Good_sequence,Perfect,543,543.0,583,583.0,3075,Bad clone,543,232.0,583,247.0,893
2,BBF10K_000485,gene_17059,Bad_reads,Bad_reads,66,66.0,83,83.0,2286,Bad_reads,66,32.0,83,40.0,893
3,BBF10K_000493,gene_14016,Good_sequence,Perfect,505,505.0,501,501.0,2316,Bad clone,505,213.0,501,212.0,893
4,BBF10K_000499,gene_7179,Good_sequence,Perfect,512,512.0,518,518.0,2118,Bad clone,512,219.0,518,221.0,893
5,BBF10K_000478,gene_20542,Good_sequence,Perfect,525,525.0,530,530.0,2838,Bad clone,525,216.0,530,224.0,893
6,BBF10K_000490,gene_9487,Good_sequence,Perfect,564,564.0,560,560.0,2376,Bad clone,564,241.0,560,233.0,893
7,BBF10K_000488,gene_20403,Good_sequence,Perfect,528,528.0,553,553.0,2196,Bad clone,528,227.0,553,236.0,893
8,BBF10K_000481,gene_8284,Point_mutation,Mutation: 1.0 0.0,467,466.0,541,541.0,2175,Bad clone,467,197.0,541,225.0,893
9,BBF10K_000476,gene_14606,Unknown_sequence,Bad clone,446,198.0,384,172.0,2259,Bad clone,446,189.0,384,164.0,893
10,BBF10K_000487,gene_20377,Good_sequence,Perfect,556,556.0,566,566.0,2310,Bad clone,556,240.0,566,239.0,893
11,BBF10K_000483,gene_12508,Good_sequence,Perfect,565,565.0,538,538.0,2358,Bad clone,565,239.0,538,230.0,893
12,BBF10K_000475,gene_14034,Point_mutation,Mutation: 0.0 2.0,522,522.0,528,526.0,2358,Bad clone,522,218.0,528,222.0,893
13,BBF10K_000474,gene_13895,Good_sequence,Perfect,504,504.0,545,545.0,2010,Bad clone,504,212.0,545,233.0,893
14,BBF10K_000492,gene_12723,Good_sequence,Perfect,550,550.0,542,542.0,3111,Bad clone,550,230.0,542,231.0,893
15,BBF10K_000472,gene_12442,Good_sequence,Perfect,535,535.0,492,492.0,2091,Bad clone,535,228.0,492,210.0,893
16,BBF10K_000495,gene_15288,Good_sequence,Perfect,536,536.0,560,560.0,2259,Bad clone,536,230.0,560,240.0,893
17,BBF10K_000479,gene_21311,Good_sequence,Perfect,527,527.0,550,550.0,2178,Bad clone,527,221.0,550,232.0,893
18,BBF10K_000473,gene_12924,Point_mutation,Mutation: 1.0 0.0,543,542.0,536,536.0,2280,Bad clone,543,226.0,536,221.0,893
19,BBF10K_000489,gene_9026,Good_sequence,Perfect,514,514.0,549,549.0,2571,Bad clone,514,221.0,549,233.0,893
20,BBF10K_000482,gene_120,Good_sequence,Perfect,510,510.0,521,521.0,3195,Bad clone,510,213.0,521,221.0,893
21,BBF10K_000486,gene_17650,Good_sequence,Perfect,530,530.0,536,536.0,2451,Bad clone,530,226.0,536,237.0,893
22,BBF10K_000491,gene_9711,Good_sequence,Perfect,526,526.0,577,577.0,2493,Bad clone,526,227.0,577,247.0,893
23,BBF10K_000480,gene_6507,Good_sequence,Perfect,533,533.0,500,500.0,2922,Bad clone,533,236.0,500,209.0,893
24,BBF10K_000494,gene_1475,Good_sequence,Perfect,531,531.0,546,546.0,2970,Bad clone,531,222.0,546,231.0,893
25,BBF10K_000469,gene_20107,Good_sequence,Perfect,534,534.0,481,481.0,2310,Bad clone,534,225.0,481,206.0,893
26,BBF10K_000501,gene_11534,Original_vector_sequence,Bad clone,510,222.0,517,226.0,2310,Perfect,510,510.0,517,517.0,893
27,BBF10K_000470,gene_4461,Good_sequence,Perfect,561,561.0,550,550.0,2184,Bad clone,561,244.0,550,232.0,893
28,BBF10K_000500,gene_7338,Good_sequence,Perfect,519,519.0,522,522.0,2124,Bad clone,519,219.0,522,218.0,893
29,BBF10K_000484,gene_13533,Point_mutation,Mutation: 0.0 1.0,550,550.0,556,555.0,1941,Bad clone,550,234.0,556,232.0,893
30,BBF10K_000496,gene_18034,Good_sequence,Perfect,531,531.0,494,494.0,3120,Bad clone,531,226.0,494,208.0,893
31,BBF10K_000471,gene_8853,Good_sequence,Perfect,459,459.0,548,548.0,3081,Bad clone,459,195.0,548,234.0,893
